Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2013,Import,Lebanon,Germany,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,6694
2013,Export,Lebanon,Germany,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,137014
2013,Export,Lebanon,Ghana,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,26583
2013,Export,Lebanon,Greece,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,46174
2013,Export,Lebanon,Guinea,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,8677
2013,Export,Lebanon,"China, Hong Kong SAR","Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,17463
2013,Import,Lebanon,Italy,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,1117644
2013,Export,Lebanon,Côte d'Ivoire,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,123339
2013,Export,Lebanon,Jordan,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,2163380
2013,Import,Lebanon,Kenya,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,265
2013,Export,Lebanon,Kuwait,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,59534
2013,Export,Lebanon,Liberia,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,14728
2013,Export,Lebanon,Malaysia,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,6479
2013,Export,Lebanon,Mali,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,23375
2013,Export,Lebanon,Morocco,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,41356
2013,Export,Lebanon,Oman,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,134361
2013,Import,Lebanon,Netherlands,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,550861
2013,Export,Lebanon,Netherlands,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,781095
2013,Import,Lebanon,Nicaragua,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,68
2013,Export,Lebanon,Niger,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,15008
2013,Export,Lebanon,Nigeria,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,282908
2013,Export,Lebanon,Panama,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,8764
2013,Import,Lebanon,Poland,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,95
2013,Import,Lebanon,Portugal,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,2889
2013,Export,Lebanon,Qatar,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,1331905
2013,Export,Lebanon,Saudi Arabia,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,1981076
2013,Export,Lebanon,Senegal,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,8145
2013,Export,Lebanon,Sierra Leone,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,77799
2013,Import,Lebanon,India,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,467
2013,Export,Lebanon,Singapore,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,286
2013,Export,Lebanon,South Africa,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,926142
2013,Export,Lebanon,Zimbabwe,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,841
2013,Import,Lebanon,Spain,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,297
2013,Export,Lebanon,Sudan,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,7997
2013,Export,Lebanon,Sweden,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,218404
2013,Import,Lebanon,Switzerland,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,2707310
2013,Import,Lebanon,Syria,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,68587
2013,Export,Lebanon,Syria,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,381187
2013,Export,Lebanon,Togo,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,13866
2013,Export,Lebanon,United Arab Emirates,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,1542456
2013,Export,Lebanon,Turkey,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,181185
2013,Export,Lebanon,Egypt,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,32526
2013,Import,Lebanon,United Kingdom,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,72377
2013,Export,Lebanon,United Kingdom,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,213035
2013,Export,Lebanon,Free Zones,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,896
2013,Import,Lebanon,USA,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,137556
2013,Export,Lebanon,USA,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,1389673
2013,Export,Lebanon,Burkina Faso,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,4846
2013,Export,Lebanon,Uruguay,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,858
2013,Export,Lebanon,Venezuela,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,11996
2013,Export,Lebanon,Zambia,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",090121,23451
2013,Import,Lebanon,Australia,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Decaffeinated",090122,301
2013,Export,Lebanon,Australia,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Decaffeinated",090122,2038
2013,Export,Lebanon,Bahrain,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Decaffeinated",090122,980
2013,Import,Lebanon,Canada,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Decaffeinated",090122,2132
2013,Import,Lebanon,France,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Decaffeinated",090122,4825
2013,Export,Lebanon,Gabon,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Decaffeinated",090122,3393
2013,Import,Lebanon,Italy,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Decaffeinated",090122,60156
2013,Export,Lebanon,Côte d'Ivoire,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Decaffeinated",090122,5086
